symbol;unicode;unicode_name;width;height;total_weight;q1_weight;q2_weight;q3_weight;q4_weight;q1_relative_weight;q2_relative_weight;q3_relative_weight;q4_relative_weight;center_x;center_y;center_x_norm;center_y_norm;Ix;Iy;Ix_norm;Iy_norm;symbol_image;profiles_image
А;U+0410;CYRILLIC CAPITAL LETTER A;28;40;544;84;183;128;149;0.300000;0.653571;0.457143;0.532143;15.255515;19.841912;0.565019;0.508767;69908.404412;26447.483456;0.055731;0.021084;lab5_output\symbols\U+0410_А.png;lab5_output\profiles\U+0410_А_profiles.png
Б;U+0411;CYRILLIC CAPITAL LETTER BE;27;40;502;153;55;146;148;0.588462;0.196429;0.561538;0.528571;11.685259;21.081673;0.449433;0.540556;74165.651394;26098.270916;0.063585;0.022375;lab5_output\symbols\U+0411_Б.png;lab5_output\profiles\U+0411_Б_profiles.png
В;U+0412;CYRILLIC CAPITAL LETTER VE;26;40;476;142;74;153;107;0.546154;0.284615;0.588462;0.411538;11.510504;20.710084;0.460420;0.531028;68515.991597;22624.947479;0.063347;0.020918;lab5_output\symbols\U+0412_В.png;lab5_output\profiles\U+0412_В_profiles.png
Г;U+0413;CYRILLIC CAPITAL LETTER GHE;21;40;334;143;45;143;3;0.715000;0.204545;0.715000;0.013636;7.326347;17.410180;0.366317;0.446415;52248.805389;5637.428144;0.074049;0.007990;lab5_output\symbols\U+0413_Г.png;lab5_output\profiles\U+0413_Г_profiles.png
Д;U+0414;CYRILLIC CAPITAL LETTER DE;32;48;529;48;194;144;143;0.125000;0.505208;0.375000;0.372396;17.703214;24.345936;0.571071;0.517999;91463.693762;34618.404537;0.038767;0.014673;lab5_output\symbols\U+0414_Д.png;lab5_output\profiles\U+0414_Д_profiles.png
Є;U+0404;CYRILLIC CAPITAL LETTER UKRAINIAN IE;30;40;470;139;125;111;95;0.463333;0.416667;0.370000;0.316667;12.848936;18.823404;0.443067;0.482651;55196.342553;33576.274468;0.038331;0.023317;lab5_output\symbols\U+0404_Є.png;lab5_output\profiles\U+0404_Є_profiles.png
Ж;U+0416;CYRILLIC CAPITAL LETTER ZHE;46;40;729;161;160;204;204;0.350000;0.347826;0.443478;0.443478;22.465021;20.521262;0.499223;0.526186;113091.920439;90115.358025;0.033404;0.026617;lab5_output\symbols\U+0416_Ж.png;lab5_output\profiles\U+0416_Ж_profiles.png
Ѕ;U+0405;CYRILLIC CAPITAL LETTER DZE;32;40;414;124;45;86;159;0.387500;0.140625;0.268750;0.496875;15.842995;21.543478;0.511064;0.552397;66842.717391;32708.794686;0.040798;0.019964;lab5_output\symbols\U+0405_Ѕ.png;lab5_output\profiles\U+0405_Ѕ_profiles.png
З;U+0417;CYRILLIC CAPITAL LETTER ZE;35;42;472;64;156;93;159;0.179272;0.412698;0.260504;0.420635;20.976695;22.116525;0.616962;0.539427;70840.591102;41970.743644;0.032783;0.019423;lab5_output\symbols\U+0417_З.png;lab5_output\profiles\U+0417_З_profiles.png
И;U+0418;CYRILLIC CAPITAL LETTER I;29;40;598;153;153;146;146;0.546429;0.510000;0.521429;0.486667;13.993311;19.443144;0.499761;0.498542;83849.566890;40327.973244;0.062314;0.029970;lab5_output\symbols\U+0418_И.png;lab5_output\profiles\U+0418_И_profiles.png
І;U+0406;CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I;11;40;250;62;63;62;63;0.620000;0.525000;0.620000;0.525000;4.544000;19.500000;0.454400;0.500000;35782.500000;890.016000;0.184827;0.004597;lab5_output\symbols\U+0406_І.png;lab5_output\profiles\U+0406_І_profiles.png
К;U+041A;CYRILLIC CAPITAL LETTER KA;30;40;577;154;132;146;145;0.513333;0.440000;0.486667;0.483333;13.866551;19.717504;0.478157;0.505577;82322.953206;40930.724437;0.057169;0.028424;lab5_output\symbols\U+041A_К.png;lab5_output\profiles\U+041A_К_profiles.png
Л;U+041B;CYRILLIC CAPITAL LETTER EL;30;40;447;3;166;131;147;0.010000;0.553333;0.436667;0.490000;18.147651;22.626398;0.625781;0.580164;59528.608501;24240.255034;0.041339;0.016834;lab5_output\symbols\U+041B_Л.png;lab5_output\profiles\U+041B_Л_profiles.png
